rcn	reference	acronym	status	programme	topics	startDate	endDate	totalCost	ecMaxContribution	call	fundingScheme	coordinator	coordinatorCountry	numOrg	totalContrib
193820	641486	spyGLASS	SIGNED	H2020-EU.2.1.6.;H2020-EU.2.	GALILEO-2-2014	2015-01-01	2017-06-30	1313310,00	1069317,00	H2020-Galileo-2014-1	IA	ASTER SPA	IT	 4	1069317,00
193821	641492	FOSTER ITS	SIGNED	H2020-EU.2.1.6.;H2020-EU.2.	GALILEO-1-2014	2015-01-01	2017-12-31	2590461,25	1813322,87	H2020-Galileo-2014-1	IA	FRANCE DEVELOPPEMENT CONSEIL.	FR	 4	1813322,87
193822	641495	GHOST	SIGNED	H2020-EU.2.1.6.;H2020-EU.2.	GALILEO-2-2014	2015-01-01	2016-12-31	1191000,00	875062,50	H2020-Galileo-2014-1	IA	TELETEL S.A. - TELECOMMUNICATIONS AND INFORMATION TECHNOLOGY	EL	 7	875062,50
193823	641498	MAGNIFIC	SIGNED	H2020-EU.2.1.6.;H2020-EU.2.	GALILEO-3-2014	2015-02-01	2017-01-31	2342591,25	1416162,50	H2020-Galileo-2014-1	IA	PILDO CONSULTING SL	ES	 10	1416162,50
193824	641500	JUPITER	SIGNED	H2020-EU.2.1.6.;H2020-EU.2.	GALILEO-4-2014	2015-01-01	2016-12-31	2082065,94	1673604,50	H2020-Galileo-2014-1	CSA	AEROSPACE VALLEY	FR	 11	1673604,50
193825	641515	GALENA	SIGNED	H2020-EU.2.1.6.;H2020-EU.2.	GALILEO-2-2014	2015-01-01	2016-12-31	1267238,75	954932,75	H2020-Galileo-2014-1	IA	HELILEO SA	FR	 8	954932,75
193826	641517	UKRAINE	SIGNED	H2020-EU.2.1.6.;H2020-EU.2.	GALILEO-3-2014	2015-01-01	2016-09-30	1429252,85	1034227,00	H2020-Galileo-2014-1	IA	VALDANI VICARI & ASSOCIATI SRL	IT	 10	1034227,00
193827	641518	mapKITE	SIGNED	H2020-EU.2.1.6.;H2020-EU.2.	GALILEO-2-2014	2015-03-01	2017-02-28	1530268,75	872191,26	H2020-Galileo-2014-1	IA	GEONUMERICS SL	ES	 10	872191,26
193828	641528	EECIPInnoman	SIGNED	H2020-EU.2.3.	INNOSUP	2014-05-01	2014-12-31	38953,75	31163,00	H2020-Adhoc-2014-20	CSA	EXEMPLAS HOLDING LIMITED	UK	 1	31163,00
193829	641529	E-KnoT	SIGNED	H2020-EU.2.1.6.;H2020-EU.2.	GALILEO-4-2014	2015-01-01	2017-12-31	1674323,75	1674323,75	H2020-Galileo-2014-1	CSA	POLITECNICO DI TORINO	IT	 7	1674323,75
193830	641526	ELAASTIC	SIGNED	H2020-EU.2.1.6.;H2020-EU.2.	GALILEO-1-2014	2015-01-01	2016-06-30	2501150,00	1750805,00	H2020-Galileo-2014-1	IA	TELESPAZIO FRANCE SAS	FR	 5	1750805,00
193831	641540	SKPLUS	SIGNED	H2020-EU.1.3.3.	MSCA-RISE-2014	2014-12-01	2018-11-30	310500,00	310500,00	H2020-MSCA-RISE-2014	MSCA-RISE	UNIVERSIDAD AUTONOMA DE MADRID	ES	 3	310500,00
193832	641544	G MOTIT	SIGNED	H2020-EU.2.1.6.;H2020-EU.2.	GALILEO-2-2014	2015-01-01	2016-12-31	1288525,00	947717,50	H2020-Galileo-2014-1	IA	PILDO LABS WESSEX LTD	UK	 5	947717,50
193833	641581	e-Airport	SIGNED	H2020-EU.2.1.6.;H2020-EU.2.	GALILEO-1-2014	2015-01-01	2017-06-30	2586200,00	1907821,12	H2020-Galileo-2014-1	IA	TELESPAZIO SPA	IT	 8	1907821,12
193834	641585	COREGAL	SIGNED	H2020-EU.2.1.6.;H2020-EU.2.	GALILEO-3-2014	2015-01-01	2016-12-31	1314248,75	906267,50	H2020-Galileo-2014-1	IA	DEIMOS ENGENHARIA S.A.	PT	 11	906267,50
193835	641606	MISTRALE	SIGNED	H2020-EU.2.1.6.;H2020-EU.2.	GALILEO-1-2014	2015-01-01	2017-12-31	3337857,50	2599244,63	H2020-Galileo-2014-1	IA	M3 SYSTEMS BELGIUM SPRL	BE	 6	2599244,63
193836	641607	BEYOND	SIGNED	H2020-EU.2.1.6.;H2020-EU.2.	GALILEO-4-2014	2015-04-01	2017-03-31	1933136,25	1931885,75	H2020-Galileo-2014-1	CSA	EUROPEAN SATELLITE SERVICES PROVIDER SAS	FR	 19	1931885,75
193837	641613	GMCA	SIGNED	H2020-EU.2.1.6.;H2020-EU.2.	GALILEO-2-2014	2015-02-01	2016-04-30	732737,50	512916,25	H2020-Galileo-2014-1	IA	DW International Ltd	UK	 5	512916,25
193838	641615	GNSS.asia2	SIGNED	H2020-EU.2.1.6.;H2020-EU.2.	GALILEO-4-2014	2015-01-01	2016-12-31	1154957,50	1153707,25	H2020-Galileo-2014-1	CSA	SPACETEC CAPITAL PARTNERS GMBH	DE	 7	1153707,25
193839	641625	POSITION	SIGNED	H2020-EU.2.1.6.;H2020-EU.2.	GALILEO-4-2014	2015-01-01	2016-12-31	314125,00	312625,00	H2020-Galileo-2014-1	CSA	BLACK PEARLS INVESTMENTS SP ZOO	PL	 2	312625,00
193840	641627	CaBilAvi	SIGNED	H2020-EU.2.1.6.;H2020-EU.2.	GALILEO-4-2014	2015-01-01	2017-09-30	1857175,75	1857175,00	H2020-Galileo-2014-1	CSA	GNSS CENTRE OF EXCELLENCE, ZAJMOVE SDRUZENI PRAVNICKYCH OSOB	CZ	 13	1857175,00
193841	641629	PARADISE	SIGNED	H2020-EU.2.1.6.;H2020-EU.2.	GALILEO-2-2014	2015-01-01	2016-11-30	1157272,50	838590,00	H2020-Galileo-2014-1	IA	IFEN GESELLSCHAFT FUR SATELLITENNAVIGATION MBH	DE	 5	838590,00
193842	641639	BIOPOL	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	3911897,16	3911897,16	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	THE UNIVERSITY OF SHEFFIELD	UK	 10	3911897,16
193843	641650	FAME	SIGNED	H2020-EU.3.5.3.	SC5-11b-2014	2015-01-01	2018-12-31	7466072,50	7458064,00	H2020-SC5-2014-one-stage	RIA	WARDELL ARMSTRONG  LLP	UK	 16	7458064,00
193844	641652	ChildBrain	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-03-01	2019-02-28	3883795,20	3883795,20	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	JYVASKYLAN YLIOPISTO	FI	 8	3883795,20
193845	641660	EWIT	SIGNED	H2020-EU.3.5.4.	WASTE-4b-2014	2015-02-01	2017-01-31	1641750,00	1641750,00	H2020-WASTE-2014-one-stage	CSA	CONSORZIO REMEDIA	IT	 24	1641750,00
193846	641665	EPIMAC	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-EID	2015-01-01	2018-12-31	1294785,00	1294785,00	H2020-MSCA-ITN-2014	MSCA-ITN-EID	Academisch Medisch Centrum bij de Universiteit van Amsterdam	NL	 2	1294785,00
193847	641715	WaterWorks2014	SIGNED	H2020-EU.3.5.4.	WATER-3-2014	2015-02-01	2020-02-01	18667631,00	6160307,00	H2020-WATER-2014-one-stage	ERA-NET-Cofund	MINISTERIO DE ECONOMIA Y COMPETITIVIDAD	ES	 23	6160307,00
193848	641725	PHEBE	SIGNED	H2020-EU.2.1.1.6.	ICT-29-2014	2015-02-01	2018-01-31	3931688,00	3931688,00	H2020-ICT-2014-1	RIA	INTELLIGENTSIA CONSULTANTS SARL	LU	 6	3931688,00
193849	641747	CloseWEEE	SIGNED	H2020-EU.3.5.4.	WASTE-3-2014	2014-12-01	2018-11-30	5919277,50	5890660,00	H2020-WASTE-2014-one-stage	RIA	FRAUNHOFER GESELLSCHAFT ZUR FORDERUNG DER ANGEWANDTEN FORSCHUNG EV	DE	 12	5890660,00
193850	641789	MEDEA	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	3907418,76	3907418,76	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	POLITECNICO DI MILANO	IT	 10	3907418,76
193851	641794	DREAM-GO	SIGNED	H2020-EU.1.3.3.	MSCA-RISE-2014	2015-02-01	2019-01-31	2160000,00	2160000,00	H2020-MSCA-RISE-2014	MSCA-RISE	INSTITUTO POLITECNICO DO PORTO	PT	 6	2160000,00
193852	641805	NextGenVis	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-03-01	2019-02-28	3886818,12	3886818,12	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	ACADEMISCH ZIEKENHUIS GRONINGEN	NL	 10	3886818,12
193853	641821	WATERINNEU	SIGNED	H2020-EU.3.5.4.	WATER-4a-2014	2015-03-01	2017-02-28	914991,04	914991,00	H2020-WATER-2014-one-stage	CSA	CENTRO DE INVESTIGACION ECOLOGICA YAPLICACIONES FORESTALES	ES	 9	914991,00
193854	641822	MICACT	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	3300160,68	3300160,68	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	TARTU ULIKOOL	EE	 12	3300160,68
193855	641833	ONCORNET	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	3893983,56	3893983,56	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	STICHTING VU-VUMC	NL	 10	3893983,56
193856	641839	DiStruc	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	3613194,36	3613194,36	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD	UK	 8	3613194,36
193857	641858	PREDICTABLE	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-03-01	2019-02-28	3848639,76	3848639,76	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	UNIVERSITAET POTSDAM	DE	 5	3848639,76
193858	641861	Photo4Future	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	2248434,36	2248434,36	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	TECHNISCHE UNIVERSITEIT EINDHOVEN	NL	 7	2248434,36
193859	641864	INREP	SIGNED	H2020-EU.3.5.3.	SC5-12a-2014	2015-02-01	2018-01-31	6197149,50	4999433,00	H2020-SC5-2014-one-stage	RIA	UNIVERSITY OF BATH	UK	 14	4999433,00
193860	641887	DEFNET	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	3804639,48	3804639,48	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	RUHR-UNIVERSITAET BOCHUM	DE	 11	3804639,48
193861	641896	INMANCAP NL	SIGNED	H2020-EU.2.3.	INNOSUP	2014-07-01	2014-12-31	227500,00	182000,00	H2020-Adhoc-2014-20	CSA	MINISTERIE VAN ECONOMISCHE ZAKEN	NL	 2	182000,00
193862	641899	PROMIS	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	3947500,44	3947500,44	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	LANCASTER UNIVERSITY	UK	 10	3947500,44
193863	641927	INFINITY	SIGNED	H2020-EU.3.5.3.	SC5-12a-2014	2014-12-01	2018-01-31	4003243,06	4003243,00	H2020-SC5-2014-one-stage	RIA	TWI LIMITED	UK	 9	4003243,00
193864	641939	HypoTRAIN	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	3090951,60	3090951,60	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	FORSCHUNGSVERBUND BERLIN E.V.	DE	 9	3090951,60
193865	641941	Swennis	SIGNED	H2020-EU.2.3.	INNOSUP	2014-07-01	2014-12-31	139562,50	111650,00	H2020-Adhoc-2014-20	CSA	Tillväxtverket	SE	 4	111650,00
193866	641943	WAVES	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	3227952,96	3227952,96	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	UNIVERSITE PIERRE ET MARIE CURIE - PARIS 6	FR	 8	3227952,96
193867	641974	green.eu	SIGNED	H2020-EU.3.5.4.	SC5-14-2014	2015-02-01	2019-01-31	2994178,75	2994178,75	H2020-SC5-2014-one-stage	CSA	ZENTRUM FUER EUROPAEISCHE WIRTSCHAFTSFORSCHUNG GmbH	DE	 12	2994178,75
193868	641984	List_MAPS	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-03-01	2019-02-28	2841979,50	2841979,50	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	UNIVERSITE DE BOURGOGNE	FR	 9	2841979,50
193869	641999	ProSUM	SIGNED	H2020-EU.3.5.4.	WASTE-4c-2014	2015-01-01	2017-12-31	3704327,57	3051577,57	H2020-WASTE-2014-one-stage	CSA	WASTE OF ELECTRICAL AND ELECTRONICAL EQUIPMENT FORUM AISBL	BE	 17	3051577,57
193870	641989	Real-Time-Mining	SIGNED	H2020-EU.3.5.3.	SC5-11a-2014	2015-04-01	2019-03-31	6566702,50	5629199,75	H2020-SC5-2014-one-stage	RIA	TECHNISCHE UNIVERSITEIT DELFT	NL	 13	5629199,75
193871	641985	5G Wireless	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	3858492,24	3858492,24	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	UNIVERSITAT POLITECNICA DE CATALUNYA	ES	 10	3858492,24
193872	642004	MAGICBULLET	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	3746420,28	3746420,28	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	UNIVERSITAET BIELEFELD	DE	 9	3746420,28
193873	642007	ESMERALDA	SIGNED	H2020-EU.3.5.2.	SC5-10a-2014	2015-02-01	2018-07-31	3133306,00	3002166,00	H2020-SC5-2014-one-stage	CSA	CHRISTIAN-ALBRECHTS-UNIVERSITAET  ZU KIEL	DE	 25	3002166,00
193874	642014	IPCOS	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-EID	2015-01-01	2018-12-31	1335986,28	1335986,28	H2020-MSCA-ITN-2014	MSCA-ITN-EID	QUEEN MARY UNIVERSITY OF LONDON	UK	 5	1335986,28
193875	642023	ClickGene	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	3556990,44	3556990,44	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	DUBLIN CITY UNIVERSITY	IE	 9	3556990,44
193876	642025	NCPs CaRE	SIGNED	H2020-EU.3.5.	SC5-19a-2014	2015-02-01	2019-01-31	2092683,75	1999932,00	H2020-SC5-2014-one-stage	CSA	FORSCHUNGSZENTRUM JULICH GMBH	DE	 24	1999932,00
193877	642028	NABBA	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	2997315,36	2997315,36	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	UNIVERSITA' DEGLI STUDI DI MILANO-BICOCCA	IT	 6	2997315,36
193878	642029	CREEP	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-04-01	2019-03-31	3661113,24	3661113,24	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE	FR	 8	3661113,24
193879	642045	BRODISE	SIGNED	H2020-EU.3.5.2.	SC5-08-2014	2015-02-01	2016-09-30	1310755,00	1310755,00	H2020-SC5-2014-one-stage	CSA	AYUNTAMIENTO DE BILBAO	ES	 11	1310755,00
193880	642047	KINDRA	SIGNED	H2020-EU.3.5.4.	WATER-4a-2014	2015-01-01	2017-12-31	1119338,00	1119338,00	H2020-WATER-2014-one-stage	CSA	UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA	IT	 6	1119338,00
193881	642068	CLOSPORE	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	3910777,56	3910777,56	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	THE UNIVERSITY OF NOTTINGHAM	UK	 8	3910777,56
193882	642069	HPC-LEAP	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-EJD	2015-04-01	2019-03-31	3723916,32	3723916,32	H2020-MSCA-ITN-2014	MSCA-ITN-EJD	THE CYPRUS INSTITUTE LIMITED	CY	 7	3723916,32
193883	642080	SAF21	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	2724033,96	2724033,96	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	UNIVERSITETET I TROMSOE	NO	 8	2724033,96
193884	642083	EURO-SEQUENCES	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	3926899,80	3926899,80	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE	FR	 9	3926899,80
193885	642116	SDIN	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	2283926,12	2283925,68	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	UNIVERSIDADE DO PORTO	PT	 9	2283925,68
193886	642130	INTRAW	SIGNED	H2020-EU.3.5.3.	SC5-13b-2014	2015-02-01	2018-01-31	2111375,00	2111200,00	H2020-SC5-2014-one-stage	CSA	FEDERATION EUROPEENNE DES GEOLOGUES	FR	 15	2111200,00
193887	642139	MINATURA 2020	SIGNED	H2020-EU.3.5.3.	SC5-13a-2014	2015-02-01	2018-01-31	2092687,50	2092687,50	H2020-SC5-2014-one-stage	CSA	GUENTER TIESS	AT	 24	2092687,50
193888	642153	MarineUAS	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	3851102,88	3851102,88	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	NORGES TEKNISK-NATURVITENSKAPELIGE UNIVERSITET NTNU	NO	 10	3851102,88
193889	642157	TOLLerant	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	3122539,38	3122539,38	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	UNIVERSITA' DEGLI STUDI DI MILANO-BICOCCA	IT	 10	3122539,38
193890	642178	InnovImp	SIGNED	H2020-EU.2.3.	INNOSUP	2014-05-01	2014-12-31	10500,00	8400,00	H2020-Adhoc-2014-20	CSA	MALTA ENTERPRISE	MT	 1	8400,00
193891	642191	InnoMan_NRW	SIGNED	H2020-EU.2.3.	INNOSUP	2014-05-01	2014-12-31	59500,00	47600,00	H2020-Adhoc-2014-20	CSA	ZENIT ZENTRUM FUER INNOVATION UND TECHNIK	DE	 1	47600,00
193892	642192	ResMoSys	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	2646333,72	2646333,72	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE	UK	 10	2646333,72
193893	642196	iSwitch	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	3826359,72	3826359,72	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	UNIVERSITE DE STRASBOURG	FR	 11	3826359,72
193894	642201	OptimOre	SIGNED	H2020-EU.3.5.3.	SC5-11b-2014	2014-12-01	2017-11-30	5084468,75	5084468,75	H2020-SC5-2014-one-stage	RIA	UNIVERSITAT POLITECNICA DE CATALUNYA	ES	 8	5084468,75
193895	642224	FREEWAT	SIGNED	H2020-EU.3.5.4.	WATER-4a-2014	2015-04-01	2017-10-01	1411162,50	1411162,50	H2020-WATER-2014-one-stage	CSA	SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO SANT'ANNA	IT	 17	1411162,50
193896	642231	New_Innonet	SIGNED	H2020-EU.3.5.4.	WASTE-4a-2014	2015-02-01	2017-07-31	1493211,25	1493211,25	H2020-WASTE-2014-one-stage	CSA	PNO CONSULTANTS BV	NL	 12	1493211,25
193897	642241	BIG4	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	3885251,22	3885250,68	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	KOBENHAVNS UNIVERSITET	DK	 12	3885250,68
193898	642242	CARISMA	SIGNED	H2020-EU.3.5.1.	SC5-05a-2014	2015-02-01	2018-07-31	2066653,75	2064403,75	H2020-SC5-2014-one-stage	CSA	STICHTING KATHOLIEKE UNIVERSITEIT	NL	 10	2064403,75
193899	642294	TCCM	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-EJD	2015-01-01	2018-12-31	3785867,52	3785867,52	H2020-MSCA-ITN-2014	MSCA-ITN-EJD	UNIVERSIDAD AUTONOMA DE MADRID	ES	 12	3785867,52
193900	642295	MEL-PLEX	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2014-12-01	2018-11-30	3605357,16	3605357,16	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	ROYAL COLLEGE OF SURGEONS IN IRELAND	IE	 10	3605357,16
193901	642310	INNOKAM	SIGNED	H2020-EU.2.3.	INNOSUP	2014-05-01	2014-12-31	48375,00	38700,00	H2020-Adhoc-2014-20	CSA	INVESTITIONSBANK SCHLESWIG-HOLSTEIN	DE	 3	38700,00
193902	642328	ArcInTex ETN	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	3856700,88	3856700,88	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	HOEGSKOLAN I BORAS	SE	 8	3856700,88
193903	642332	GEO-C	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-EJD	2015-01-01	2018-12-31	3677229,00	3677229,00	H2020-MSCA-ITN-2014	MSCA-ITN-EJD	WESTFAELISCHE WILHELMS-UNIVERSITAET MUENSTER	DE	 3	3677229,00
193904	642354	BlueSCities	SIGNED	H2020-EU.3.5.4.	WATER-4a-2014	2015-02-01	2017-01-31	995918,75	995918,75	H2020-WATER-2014-one-stage	CSA	FUNDACIO CTM CENTRE TECNOLOGIC	ES	 12	995918,75
193905	642372	INSPIRATION	SIGNED	H2020-EU.3.5.2.	SC5-10b-2014	2015-03-01	2018-02-28	2812585,50	2598760,50	H2020-SC5-2014-one-stage	CSA	UMWELTBUNDESAMT	DE	 21	2598760,50
193906	642355	FIWIN5G	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	3867896,88	3867896,88	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	UNIVERSITY COLLEGE LONDON	UK	 10	3867896,88
193907	642380	MET-A-FOR	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-EID	2015-01-01	2018-12-31	819863,64	819863,64	H2020-MSCA-ITN-2014	MSCA-ITN-EID	THE QUEEN'S UNIVERSITY OF BELFAST	UK	 2	819863,64
193908	642414	TargetCaRe	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-03-01	2019-02-28	3971459,88	3971459,88	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	ERASMUS UNIVERSITAIR MEDISCH CENTRUM ROTTERDAM	NL	 11	3971459,88
193909	642420	BiodivERsA3	SIGNED	H2020-EU.3.5.2.	SC5-09-2014	2015-02-01	2020-02-01	38003677,00	11999980,50	H2020-SC5-2014-one-stage	ERA-NET-Cofund	FONDATION FRANCAISE POUR LA RECHERCHE SUR LA BIODIVERSITE	FR	 31	11999980,50
193910	642423	WIDEST	SIGNED	H2020-EU.3.5.4.	WATER-4a-2014	2015-02-01	2017-01-31	1022030,00	1022030,00	H2020-WATER-2014-one-stage	CSA	FUNDACIO EURECAT	ES	 6	1022030,00
193911	642433	PIANO	SIGNED	H2020-EU.3.5.4.	WATER-5a-2014	2015-03-01	2018-02-28	1107375,00	1107375,00	H2020-WATER-2014-one-stage	CSA	UNIVERSITAET FUER BODENKULTUR WIEN	AT	 9	1107375,00
193912	642434	ANTIVIRALS	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-03-01	2019-02-28	3849087,60	3849087,60	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	UNIVERSITEIT UTRECHT	NL	 12	3849087,60
193913	642444	I2BENE	SIGNED	H2020-EU.2.3.	INNOSUP	2014-06-01	2014-12-31	19250,00	15400,00	H2020-Adhoc-2014-20	CSA	AGENCE BRUXELLOISE POUR L'ENTREPRISE	BE	 1	15400,00
193914	642445	AdapTT	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-EID	2015-01-01	2018-12-31	766122,84	766122,84	H2020-MSCA-ITN-2014	MSCA-ITN-EID	PHILIPS ELECTRONICS NEDERLAND B.V.	NL	 2	766122,84
193915	642451	PPI4Waste	SIGNED	H2020-EU.3.5.4.	WASTE-5-2014	2015-01-01	2017-06-30	1003687,50	998812,50	H2020-WASTE-2014-one-stage	CSA	INSTITUTO ANDALUZ DE TECNOLOGIA.	ES	 8	998812,50
193916	642453	TRUSS	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	3701306,88	3701306,88	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	UNIVERSITY COLLEGE DUBLIN, NATIONAL UNIVERSITY OF IRELAND, DUBLIN	IE	 9	3701306,88
193917	642456	BioMOre	SIGNED	H2020-EU.3.5.3.	SC5-11a-2014	2015-02-01	2018-01-31	8564961,75	8564961,75	H2020-SC5-2014-one-stage	RIA	KGHM POLSKA MIEDZ SA	PL	 22	8564961,75
193918	642458	MUSICA	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	3835204,56	3835204,56	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	POLITECNICO DI MILANO	IT	 10	3835204,56
193919	642477	VAMOS	SIGNED	H2020-EU.3.5.3.	SC5-11a-2014	2015-02-01	2018-07-31	9200000,00	9200000,00	H2020-SC5-2014-one-stage	RIA	BMT GROUP LTD	UK	 17	9200000,00
193920	642514	TRACKWAY	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-EID	2015-01-01	2018-12-31	745634,16	745634,16	H2020-MSCA-ITN-2014	MSCA-ITN-EID	UNIVERSIDAD DEL PAIS VASCO EHU UPV	ES	 2	745634,16
193921	642522	ICEKAM	SIGNED	H2020-EU.2.3.	INNOSUP	2014-08-01	2014-12-31	13756,25	11005,00	H2020-Adhoc-2014-20	CSA	NYSKOPUNARMIDSTOD ISLANDS	IS	 1	11005,00
193922	642536	CaFE	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2019-01-01	3939999,12	3939999,12	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	THE CITY UNIVERSITY	UK	 8	3939999,12
193923	642557	CoACH	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	3882899,52	3882899,52	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	POLITECNICO DI TORINO	IT	 9	3882899,52
193924	642563	COSMOS	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-EJD	2015-01-01	2018-12-31	3878421,12	3878421,12	H2020-MSCA-ITN-2014	MSCA-ITN-EJD	UNIVERSITAET POTSDAM	DE	 8	3878421,12
