title;topicRcn;topicCode;legalBasisRcn;legalBasisCode
High Performance Computing (HPC);664827;EUB-2-2015;664147;H2020-EU.2.1.1.
Experimental Platforms;664828;EUB-3-2015;664147;H2020-EU.2.1.1.
Technologies combining big data, internet of things in the cloud;664829;EUJ-1-2014;664147;H2020-EU.2.1.1.
Optical communications;664830;EUJ-2-2014;664147;H2020-EU.2.1.1.
Access networks for densely located users;664831;EUJ-3-2014;664147;H2020-EU.2.1.1.
Experimentation and development on federated Japan - EU testbeds;664832;EUJ-4-2014;664147;H2020-EU.2.1.1.
Process optimisation of manufacturing assets;664833;FoF-1-2014;;
ICT-enabled modelling, simulation, analytics and forecasting technologies;664834;FoF-8-2015;;
ICT Innovation for Manufacturing SMEs (I4MS);664835;FoF-9-2015;;
Tackling losses from terrestrial animal diseases;664836;SFS-01b-2014;664281;H2020-EU.3.2.
EU-China cooperation on IPM in agriculture;664837;SFS-03b-2014;664281;H2020-EU.3.2.
Bridging research and innovation efforts for a sustainable bioeconomy;664838;ISIB-08b-2014;664281;H2020-EU.3.2.
Sustainable and resilient agriculture for food and non-food systems;664839;ISIB-12a-2014;664281;H2020-EU.3.2.
Monitoring and mitigation of agricultural and forestry greenhouse gases (GHG);664840;ISIB-12c-2015;664281;H2020-EU.3.2.
Sustainable crop production;664841;ISIB-12d-2015;;
Sustainable livestock production;664842;ISIB-12e-2015;664281;H2020-EU.3.2.
Biomarkers for nutrition and health;664843;ISIB-12f-2015;664281;H2020-EU.3.2.
New knowledge and technologies;664844;LCE-01-2014;664351;H2020-EU.3.3.5.
Developing the next generation technologies of renewable electricity and heating/cooling;664845;LCE-02-2014;664339;H2020-EU.3.3.2.4.
Developing the next generation technologies of renewable electricity and heating/cooling;664846;LCE-02-2015;664339;H2020-EU.3.3.2.4.
Demonstration of renewable electricity and heating/cooling technologies;664847;LCE-03-2014;664339;H2020-EU.3.3.2.4.
Demonstration of renewable electricity and heating/cooling technologies;664848;LCE-03-2015;664339;H2020-EU.3.3.2.4.
Market uptake of existing and emerging renewable electricity, heating and cooling technologies;664849;LCE-04-2014;664355;H2020-EU.3.3.7.
Market uptake of existing and emerging renewable electricity, heating and cooling technologies;664850;LCE-04-2015;664355;H2020-EU.3.3.7.
Innovation and technologies for the deployment of meshed off-shore grids �;664851;LCE-05-2015;664235;H2020-EU.3.
Transmission grid and wholesale market;664852;LCE-06-2015;664235;H2020-EU.3.
Distribution grid and retail market;664853;LCE-07-2014;664235;H2020-EU.3.
Local / small-scale storage;664854;LCE-08-2014;664235;H2020-EU.3.
Large scale energy storage;664855;LCE-09-2015;664235;H2020-EU.3.
Next generation technologies for energy storage;664856;LCE-10-2014;664235;H2020-EU.3.
Developing next generation technologies for biofuels and sustainable alternative fuels;664857;LCE-11-2014;664343;H2020-EU.3.3.3.1.
Developing next generation technologies for biofuels and sustainable alternative fuels;664858;LCE-11-2015;664343;H2020-EU.3.3.3.1.
Demonstrating advanced biofuel technologies;664859;LCE-12-2014;664343;H2020-EU.3.3.3.1.
Demonstrating advanced biofuel technologies;664860;LCE-12-2015;664343;H2020-EU.3.3.3.1.
Partnering with Brazil on advanced biofuels;664861;LCE-13-2015;664343;H2020-EU.3.3.3.1.
Market uptake of existing and emerging sustainable bioenergy;664862;LCE-14-2014;664355;H2020-EU.3.3.7.
Market uptake of existing and emerging sustainable bioenergy;664863;LCE-14-2015;664355;H2020-EU.3.3.7.
Enabling decarbonisation of the fossil fuel-based power sector and energy intensive industry through CCS;664864;LCE-15-2014;664337;H2020-EU.3.3.2.3.
Enabling decarbonisation of the fossil fuel-based power sector and energy intensive industry through CCS;664865;LCE-15-2015;664337;H2020-EU.3.3.2.3.
Understanding, preventing and mitigating the potential environmental impacts and risks of shale gas exploration and exploitation;664866;LCE-16-2014;664337;H2020-EU.3.3.2.3.
Highly flexible and efficient fossil fuel power plants;664867;LCE-17-2015;664337;H2020-EU.3.3.2.3.
Supporting Joint Actions on demonstration and validation of innovative energy solutions;664868;LCE-18-2014;664235;H2020-EU.3.
"Supporting coordination of national R&amp;D activities";664869;LCE-19-2014;664235;H2020-EU.3.
"Supporting coordination of national R&amp;D activities";664870;LCE-19-2015;664235;H2020-EU.3.
The human factor in the energy system;664871;LCE-20-2014;664353;H2020-EU.3.3.6.
Modelling and analysing the energy system, its transformation and impacts;664872;LCE-21-2015;664353;H2020-EU.3.3.6.
Fostering the network of National Contact Points;664873;LCE-22-2014;664235;H2020-EU.3.
Smart Cities and Communities solutions integrating energy, transport, ICT sectors through lighthouse (large scale demonstration - first of the kind) projects;664874;SCC-01-2014;664329;H2020-EU.3.3.1.3.
Smart Cities and Communities solutions integrating energy, transport, ICT sectors through lighthouse (large scale demonstration - first of the kind) projects;664875;SCC-01-2015;664329;H2020-EU.3.3.1.3.
Developing a framework for common, transparent data collection and performance measurement to allow comparability and replication between solutions and best-practice identification;664876;SCC-02-2014;664329;H2020-EU.3.3.1.3.
Development of system standards for smart cities and communities solutions;664877;SCC-03-2015;664329;H2020-EU.3.3.1.3.
Establishing networks of public procurers in local administrations on smart city solutions;664878;SCC-04-2014;664329;H2020-EU.3.3.1.3.
Smart solutions for creating better cities and communities � assistance for a prize competition;664879;SCC-05-2014;;
Stimulating the innovation potential of SMEs for a low carbon energy system;664880;SIE-01-2014;664225;H2020-EU.2.3.1.
Stimulating the innovation potential of SMEs for a low carbon energy system;664881;SIE-01-2015;664225;H2020-EU.2.3.1.
Fast track to Innovation Topic - Pilot;664882;SIE-02-2015;;
Competitiveness of European Aviation through cost efficiency and innovation;664883;MG-1.1-2014;664357;H2020-EU.3.4.
Enhancing resource efficiency of aviation;664884;MG-1.2-2015;664357;H2020-EU.3.4.
Seamless air mobility;664885;MG-1.3-2014;664357;H2020-EU.3.4.
Coordinated research and innovation actions targeting the highest levels of safety for European aviation;664886;MG-1.4-2014;664357;H2020-EU.3.4.
Breakthrough innovation for European Aviation;664887;MG-1.5-2014;664357;H2020-EU.3.4.
Improving skills and knowledge base in European Aviation;664888;MG-1.6-2014;664357;H2020-EU.3.4.
Support to European Aviation Research and Innovation Policy;664889;MG-1.7-2014;664357;H2020-EU.3.4.
International cooperation in aeronautics;664890;MG-1.8-2014;664357;H2020-EU.3.4.
International cooperation in aeronautics with Japan;664891;MG-1.8-2015;664357;H2020-EU.3.4.
I�I � Intelligent Infrastructure;664892;MG-2.1-2014;664357;H2020-EU.3.4.
Smart Rail Services;664893;MG-2.2-2014;664357;H2020-EU.3.4.
New generation of rail vehicles;664894;MG-2.3-2014;664357;H2020-EU.3.4.
MG-3.1-2014: Technologies for low emission powertrains;664895;MG-3.1-2014;664357;H2020-EU.3.4.
Advanced bus concepts for increased efficiency;664896;MG-3.2-2014;664357;H2020-EU.3.4.
Global competitiveness of automotive supply chain management;664897;MG-3.3-2014;664357;H2020-EU.3.4.
Traffic safety analysis and integrated approach towards the safety of Vulnerable Road Users;664898;MG-3.4-2014;664357;H2020-EU.3.4.
Cooperative ITS for safe, congestion-free and sustainable mobility;664899;MG-3.5a-2014;664357;H2020-EU.3.4.
Safe and connected automation in road transport;664900;MG-3.6a-2015;664357;H2020-EU.3.4.
Towards the energy efficient and emission free vessel;664901;MG-4.1-2014;664357;H2020-EU.3.4.
Safer and more efficient waterborne operations through new technologies and smarter traffic management;664902;MG-4.2-2014;664357;H2020-EU.3.4.
System modelling and life-cycle cost optimisation for waterborne assets;664903;MG-4.3-2015;664357;H2020-EU.3.4.
Promoting innovation in the Inland Waterways Transport (IWT) sector;664904;MG-4.4-2014;664357;H2020-EU.3.4.
Transforming the use of conventionally fuelled vehicles in urban areas;664905;MG-5.1-2014;664357;H2020-EU.3.4.
Reducing impacts and costs of freight and service trips in urban areas;664906;MG-5.2-2014;664357;H2020-EU.3.4.
Tackling urban road congestion;664907;MG-5.3-2014;664357;H2020-EU.3.4.
Strengthening the knowledge and capacities of local authorities;664908;MG-5.4-2015;664357;H2020-EU.3.4.
Demonstrating and testing innovative solutions for cleaner and better urban transport and mobility;664909;MG-5.5a-2015;664357;H2020-EU.3.4.
Fostering synergies alongside the supply chain (including e.commerce);664910;MG-6.1-2014;664357;H2020-EU.3.4.
De-stressing the supply chain;664911;MG-6.2-2014;664357;H2020-EU.3.4.
Common communication and navigation platforms for pan-European logistics applications;664912;MG-6.3-2015;664357;H2020-EU.3.4.
Connectivity and information sharing for intelligent mobility;664913;MG-7.1-2014;664357;H2020-EU.3.4.
Towards seamless mobility addressing fragmentation in ITS deployment in Europe;664914;MG-7.2a-2014;664357;H2020-EU.3.4.
Smarter design, construction and maintenance;664915;MG-8.1a-2014;664357;H2020-EU.3.4.
Next generation transport infrastructure: resource efficient, smarter and safer;664916;MG-8.2a-2014;664357;H2020-EU.3.4.
Facilitating market take up of innovative transport infrastructure solutions;664917;MG-8.3-2015;664357;H2020-EU.3.4.
Smart governance, network resilience and streamlined delivery of infrastructure innovation;664918;MG-8.4a-2015;664357;H2020-EU.3.4.
Transport societal drivers;664919;MG-9.1-2015;664357;H2020-EU.3.4.
User behaviour and mobility patterns in the context of major societal trends;664920;MG-9.2-2014;664357;H2020-EU.3.4.
Analysis of funding schemes for transport infrastructure;664921;MG-9.3-2014;664357;H2020-EU.3.4.
Research, technology development and market prospects for the European transport industries;664922;MG-9.4-2014;664357;H2020-EU.3.4.
Fostering transnational cooperation in European transport research and innovation � NCP network;664923;MG-9.5-2015;664357;H2020-EU.3.4.
Strengthening the research and innovation strategies of the transport industries in Europe;664924;MG-9.6-2014;664357;H2020-EU.3.4.
Innovation awards for students and researchers in the context of the Transport Research Arena conference - TRA 2016;664925;MG-9.7-2014;664357;H2020-EU.3.4.
Next generation of competitive Li-ion batteries to meet customer expectations;664926;GV-1-2014;664357;H2020-EU.3.4.
Optimised and systematic energy management in electric vehicles;664927;GV-2-2014;664357;H2020-EU.3.4.
Future natural gas powertrains and components for cars and vans;664928;GV-3-2014;664357;H2020-EU.3.4.
Hybrid light and heavy duty vehicles;664929;GV-4-2014;664357;H2020-EU.3.4.
Electric two-wheelers and new ultra-light vehicle concepts;664930;GV-5-2014;664357;H2020-EU.3.4.
Future alternative fuel powertrains and components for heavy duty vehicles;664931;GV-7-2014;664357;H2020-EU.3.4.
Electric vehicles� enhanced performance and integration into the transport system and the grid;664932;GV-8-2015;664357;H2020-EU.3.4.
Small business innovation research for Transport;664933;IT-1-2014;664225;H2020-EU.2.3.1.
Small business innovation research for Transport;664934;IT-1-2015;664225;H2020-EU.2.3.1.
Fast Track to Innovation;664935;IT-2-2015;;
Developing a public European environmental modelling suite for aviation;664936;OTH-1-2014;;
Europe wide open source transport models, data and scenarios;664937;OTH-2-2015;;
The cleanest engine;664938;OTH-4-2015;;
Improved safety design and operation of fission reactors;664939;NFRP-01-2014;664523;H2020-Euratom-1.3.
Tool for the fast and reliable prediction of severe accident progression and anticipation of the source term of a nuclear accident;664940;NFRP-02-2014;664523;H2020-Euratom-1.3.
New innovative approaches to reactor safety;664941;NFRP-03-2014;664519;H2020-Euratom-1.1.
EU concerted development of Member State research on radioactive waste management;664942;NFRP-04-2014;664523;H2020-Euratom-1.3.
Supporting the licensing of geological repositories;664943;NFRP-05-2014;664523;H2020-Euratom-1.3.
Supporting the implementation of the first-of-the-kind geological repositories;664944;NFRP-06-2014;664523;H2020-Euratom-1.3.
Integrating radiation research in the European Union;664945;NFRP-07-2015;664523;H2020-Euratom-1.3.
High density uranium fuel and targets for the production of medical radioisotopes;664946;NFRP-08-2015;664519;H2020-Euratom-1.1.
Transmutation of minor actinides (Towards industrial application);664947;NFRP-09-2015;664523;H2020-Euratom-1.3.
Education and training (Bologna and Copenhagen processes);664948;NFRP-10-2014;664523;H2020-Euratom-1.3.
Modelling and analysing the energy system, its transformation and impacts.;664949;NFRP-11-2015;664531;H2020-Euratom-1.7.
Nuclear developments and interaction with society;664950;NFRP-12-2015;664523;H2020-Euratom-1.3.
Fostering the network of National Contact Points;664951;NFRP-13-2014;664523;H2020-Euratom-1.3.
Regional initiative aiming at nuclear research and training capacity building;664952;NFRP-14-2014;664523;H2020-Euratom-1.3.
Specific support to the work of the Sustainable Nuclear Energy Technology Platform;664953;NFRP-15-2014;664519;H2020-Euratom-1.1.
Resilient and sustainable economic and monetary union in Europe;664954;EURO-1-2014;664435;H2020-EU.3.6.
The European growth agenda;664955;EURO-2-2014;664435;H2020-EU.3.6.
European societies after the crisis;664956;EURO-3-2014;664435;H2020-EU.3.6.
Political challenges for Europe;664957;EURO-4-2014;664435;H2020-EU.3.6.
ERA-NET on Smart Urban Futures;664958;EURO-5-2015;664435;H2020-EU.3.6.
Meeting new societal needs by using emerging technologies in the public sector;664959;EURO-6-2015;664435;H2020-EU.3.6.
Early job insecurity and labour market exclusion;664960;YOUNG-1-2014;664435;H2020-EU.3.6.
Youth mobility: opportunities, impacts, policies;664961;YOUNG-2-2014;664435;H2020-EU.3.6.
Lifelong learning for young adults: better policies for growth and inclusion in Europe;664962;YOUNG-3-2015;664435;H2020-EU.3.6.
The young as a driver of social change;664963;YOUNG-4-2015;664435;H2020-EU.3.6.
Societal and political engagement of young people and their perspectives on Europe;664964;YOUNG-5a-2014;664435;H2020-EU.3.6.
ERA-NET on Uses of the past;664965;REFLECTIVE-1-2014;664435;H2020-EU.3.6.
Emergence and transmission of European cultural heritage and Europeanisation;664966;REFLECTIVE-2-2015;664435;H2020-EU.3.6.
European cohesion, regional and urban policies and the perceptions of Europe;664967;REFLECTIVE-3-2015;664435;H2020-EU.3.6.
Cultural opposition in the former socialist countries;664968;REFLECTIVE-4-2015;664435;H2020-EU.3.6.
The cultural heritage of war in contemporary Europe;664969;REFLECTIVE-5-2015;664435;H2020-EU.3.6.
Innovation ecosystems of digital cultural assets;664970;REFLECTIVE-6-2015;664455;H2020-EU.3.6.3.
Advanced 3D modelling for accessing and understanding European cultural assets;664971;REFLECTIVE-7-2014;664455;H2020-EU.3.6.3.
Communication and dissemination platform;664972;REFLECTIVE-8-2015;664435;H2020-EU.3.6.
Social Platform on Reflective Societies;664973;REFLECTIVE-9-2014;664435;H2020-EU.3.6.
Mobilising the network of National Contact Points in Societal Challenge 6;664974;REFLECTIVE-10-2014;664435;H2020-EU.3.6.
Enhancing and focusing research and innovation cooperation with the Union�s key international partner countries - proposals targeting Russia and China;664975;INT-01-2014;664435;H2020-EU.3.6.
Enhancing and focusing research and innovation cooperation with the Union�s key international partner countries - proposals targeting Australia, USA, Brazil, South Africa, Ukraine;664976;INT-01-2015;664435;H2020-EU.3.6.
Encouraging the research and innovation cooperation between the Union and selected regional partners � proposals targeting Black Sea, Middle East, Africa;664977;INT-02-2014;664435;H2020-EU.3.6.
Encouraging the research and innovation cooperation between the Union and selected regional partners � proposals targeting Southern Mediterranean Neighbourhood, Eastern Partnership;664978;INT-02-2015;664435;H2020-EU.3.6.
Europe's contribution to a value-based global order and its contestants;664979;INT-03-2015;664435;H2020-EU.3.6.
The European Union's contribution to global development: in search of greater policy coherence;664980;INT-04-2015;664435;H2020-EU.3.6.
Rethinking the European Union crisis response mechanism in light of recent conflicts;664981;INT-05-2015;664435;H2020-EU.3.6.
Re-invigorating the partnership between the two shores of the Mediterranean;664982;INT-06-2015;664435;H2020-EU.3.6.
Towards a new geopolitical order in the South and East Mediterranean region;664983;INT-07-2015;664435;H2020-EU.3.6.
The European Union and the Eastern Partnership;664984;INT-08-2015;664435;H2020-EU.3.6.
The European Union, Turkey and its wider neighbourhood: challenges and opportunities;664985;INT-09-2015;664435;H2020-EU.3.6.
The European Union and integration challenges in the Balkans;664986;INT-10-2015;664435;H2020-EU.3.6.
European cultural and science diplomacy: exploiting the potential of culture and science in the EU�s external relations;664987;INT-11-2015;664435;H2020-EU.3.6.
The cultural, scientific and social dimension of EU-LAC relations;664988;INT-12-2015;664435;H2020-EU.3.6.
ICT-enabled open government;664989;INSO-1-2014;664435;H2020-EU.3.6.
ICT-enabled open government;664990;INSO-1-2015;664435;H2020-EU.3.6.
Understanding and supporting business model innovation;664991;INSO-2-2014;664435;H2020-EU.3.6.
The economic impact of the Innovation Union;664992;INSO-3-2014;664435;H2020-EU.3.6.
Innovative schemes for open innovation and science 2.0;664993;INSO-4-2015;664435;H2020-EU.3.6.
Social innovation Community;664994;INSO-5-2015;664435;H2020-EU.3.6.
Platform for ICT for Learning and Inclusion;664995;INSO-6-2014;664435;H2020-EU.3.6.
Towards joint programming under Horizon 2020;664996;INSO-7-2014;664435;H2020-EU.3.6.
Synchronised Call initiatives;664997;INSO-8-2014;664435;H2020-EU.3.6.
Innovative mobile e-government applications by SMEs;664998;INSO-9-2015;664435;H2020-EU.3.6.
SME business model innovation;664999;INSO-10-2015;664435;H2020-EU.3.6.
Supporting Joint Actions on demonstration and validation of innovative energy solutions;665000;LCE-18-2015;664235;H2020-EU.3.
Open access pilot lines for cost-effective nanocomposites;665001;NMP-01-2014;664161;H2020-EU.2.1.2.
Integration of novel nano materials into existing production lines;665002;NMP-02-2015;664171;H2020-EU.2.1.2.5.
Manufacturing and control of nanoporous materials;665003;NMP-03-2015;664171;H2020-EU.2.1.2.5.
High-definition printing of multifunctional materials;665004;NMP-04-2014;664163;H2020-EU.2.1.2.1.
Industrial-scale production of nanomaterials for printing applications;665005;NMP-05-2014;664163;H2020-EU.2.1.2.1.
Novel nanomatrices and nanocapsules;665006;NMP-06-2015;664167;H2020-EU.2.1.2.3.
Additive manufacturing for tabletop nanofactories;665007;NMP-07-2015;664171;H2020-EU.2.1.2.5.
Scale-up of nanopharmaceuticals production;665008;NMP-08-2014;664163;H2020-EU.2.1.2.1.
Networking of SMEs in the nano-biomedical sector;665009;NMP-09-2014;664231;H2020-EU.2.3.2.2.
Biomaterials for the treatment of diabetes mellitus;665010;NMP-10-2014;664175;H2020-EU.2.1.3.1.
Nanomedicine therapy for cancer;665011;NMP-11-2015;664161;H2020-EU.2.1.2.
Biomaterials for treatment and prevention of Alzheimer's disease;665012;NMP-12-2015;664173;H2020-EU.2.1.3.
Storage of energy produced by decentralised sources;665013;NMP-13-2014;664181;H2020-EU.2.1.3.4.
ERA-NET on Materials (including Materials for Energy);665014;NMP-14-2015;664173;H2020-EU.2.1.3.
Materials innovations for optimisation of cooling in power plants;665015;NMP-15-2015;664173;H2020-EU.2.1.3.
Extended in-service service of advanced functional materials in energy technologies (capture, conversion, storage and/or transmission of energy);665016;NMP-16-2015;664173;H2020-EU.2.1.3.
Post-lithium ion batteries for electric automotive applications;665017;NMP-17-2014;664173;H2020-EU.2.1.3.
Materials solutions for use in the creative industry sector;665018;NMP-18-2014;664181;H2020-EU.2.1.3.4.
Materials for severe operating conditions, including added-value functionalities;665019;NMP-19-2015;664173;H2020-EU.2.1.3.
Widening materials models;665020;NMP-20-2014;664175;H2020-EU.2.1.3.1.
Materials-based solutions for protection or preservation of European cultural heritage;665021;NMP-21-2014;664175;H2020-EU.2.1.3.1.
Fibre-based materials for non-clothing applications;665022;NMP-22-2015;664173;H2020-EU.2.1.3.
Novel materials by design for substituting critical materials;665023;NMP-23-2015;664173;H2020-EU.2.1.3.
Low-energy solutions for drinking water production;665024;NMP-24-2015;664161;H2020-EU.2.1.2.
Accelerating the uptake of nanotechnologies, advanced materials or advanced manufacturing and processing technologies by SMEs;665025;NMP-25-2014;664225;H2020-EU.2.3.1.
"Joint EU &amp; MS activity on the next phase of research in support of regulation 'NANOREG II'";665026;NMP-26-2014;664171;H2020-EU.2.1.2.5.
Coordination of EU and international efforts in safety of nanotechnology;665027;NMP-27-2014;664165;H2020-EU.2.1.2.2.
Assessment of environmental fate of nanomaterials;665028;NMP-28-2014;664165;H2020-EU.2.1.2.2.
Increasing the capacity to perform nano-safety assessment;665029;NMP-29-2015;664165;H2020-EU.2.1.2.2.
Next generation tools for risk governance of nanomaterials;665030;NMP-30-2015;664165;H2020-EU.2.1.2.2.
Novel visualization tools for enhanced nanotechnology awareness;665031;NMP-31-2014;664167;H2020-EU.2.1.2.3.
Societal engagement on responsible nanotechnology;665032;NMP-32-2015;664167;H2020-EU.2.1.2.3.
The materials 'common house';665033;NMP-33-2014;664187;H2020-EU.2.1.3.7.
Networking and sharing of best practises in management of new advanced materials through the eco-design of products, �eco-innovation, and product life cycle management;665034;NMK 34-2014;;
Business models with new supply chains for sustainable customer-driven small series production;665035;NMP-35-2014;664197;H2020-EU.2.1.5.
Facilitating knowledge management, networking and coordination in NMP;665036;NMP-36-2014;664145;H2020-EU.2.1.
Practical experience and facilitating combined funding for large-scale RDI initiatives;665037;NMP-37-2014;664145;H2020-EU.2.1.
Presidency events;665038;NMP-38-2014;664145;H2020-EU.2.1.
Support for NCPs;665039;NMP-39-2014;664145;H2020-EU.2.1.
Process optimisation of manufacturing assets;665040;FoF-01-2014;664197;H2020-EU.2.1.5.
Manufacturing �processes for complex structures and geometries with efficient use of material;665041;FoF-02-2014;664197;H2020-EU.2.1.5.
Global energy and other resources efficiency in manufacturing enterprises;665042;FoF-03-2014;664197;H2020-EU.2.1.5.
Developing smart factories that are attractive to workers;665043;FoF-04-2014;664197;H2020-EU.2.1.5.
Innovative Product-Service design using manufacturing intelligence;665044;FoF-05-2014;664197;H2020-EU.2.1.5.
Symbiotic human-robot collaboration for safe and dynamic multimodal manufacturing systems;665045;FoF-06-2014;664197;H2020-EU.2.1.5.
Support for the enhancement of the impact of FoF PPP projects;665046;FoF-07-2014;664197;H2020-EU.2.1.5.
ICT-enabled modelling, simulation, analytics and forecasting technologies;665047;FoF-08-2015;664197;H2020-EU.2.1.5.
ICT Innovation for Manufacturing SMEs (I4MS);665048;FoF-09-2015;664197;H2020-EU.2.1.5.
Manufacturing of custom made parts for personalised products;665049;FoF-10-2015;664197;H2020-EU.2.1.5.
Flexible production systems based on integrated tools for rapid reconfiguration of machinery and robots;665050;FoF-11-2015;664197;H2020-EU.2.1.5.
Industrial technologies for advanced joining and assembly processes for multi-materials;665051;FoF-12-2015;664197;H2020-EU.2.1.5.
Re-use and remanufacturing technologies and equipment for sustainable product lifecycle management;665052;FoF-13-2015;664197;H2020-EU.2.1.5.
Integrated design and management of production machinery and processes;665053;FoF-14-2015;664197;H2020-EU.2.1.5.
Materials for building envelope;665054;EeB-01-2014;664197;H2020-EU.2.1.5.
Adaptable envelopes integrated in building refurbishment projects;665055;EeB-02-2014;664197;H2020-EU.2.1.5.
Development of new self-inspection techniques and quality check methodologies for efficient construction processes;665056;EeB-03-2014;664197;H2020-EU.2.1.5.
Support for the enhancement of the impact of EeB PPP projects;665057;EeB-04-2014;664197;H2020-EU.2.1.5.
Innovative design tools for refurbishing of buildings at district level;665058;EeB-05-2015;664197;H2020-EU.2.1.5.
Integrated solutions of thermal energy storage for building applications;665059;EeB-06-2015;664197;H2020-EU.2.1.5.
New tools and methodologies to reduce the gap between predicted and actual energy performances at the level of buildings and blocks of buildings;665060;EeB-07-2015;664197;H2020-EU.2.1.5.
Integrated approach to retrofitting of residential buildings;665061;EeB-08-2015;664197;H2020-EU.2.1.5.
Integrated Process Control;665062;SPIRE-01-2014;664197;H2020-EU.2.1.5.
Adaptable industrial processes allowing the use of renewables as flexible feedstock for chemical and energy applications;665063;SPIRE-02-2014;664197;H2020-EU.2.1.5.
Improved downstream processing of mixtures in process industries;665064;SPIRE-03-2014;664197;H2020-EU.2.1.5.
Methodologies, tools and indicators for cross-sectorial sustainability assessment of energy and resource efficient solutions in the process industry;665065;SPIRE-04-2014;664197;H2020-EU.2.1.5.
New adaptable catalytic reactor methodologies for Process Intensification;665066;SPIRE-05-2015;664197;H2020-EU.2.1.5.
Energy and resource management systems for improved efficiency in the process industries;665067;SPIRE-06-2015;664197;H2020-EU.2.1.5.
Recovery technologies for metals and other minerals;665068;SPIRE-07-2015;664197;H2020-EU.2.1.5.
Solids handling for intensified process technology;665069;SPIRE-08-2015;664197;H2020-EU.2.1.5.
Towards seamless mobility addressing fragmentation in ITS deployment in Europe;665070;MG-7.2b-2014;664357;H2020-EU.3.4.
Smarter design, construction and maintenance;665071;MG-8.1b-2014;664357;H2020-EU.3.4.
Crisis management topic 1: potential of current and new measures and technologies to respond to extreme weather and climate events;665072;DRS-01-2015;664463;H2020-EU.3.7.
Crisis management topic 2: Tools for detection, traceability, triage and individual monitoring of victims after a mass CBRNE contamination and/or exposure;665073;DRS-02-2014;664463;H2020-EU.3.7.
Crisis management topic 3: Demonstration activity on large scale disasters and crisis management and resilience of EU external assets against major identified threats or causes of crisis;665074;DRS-03-2015;664463;H2020-EU.3.7.
Crisis management topic 4: Feasibility study for strengthening capacity-building for health and security protection in case of large-scale pandemics � Phase I Demo;665075;DRS-04-2014;664463;H2020-EU.3.7.
Crisis management topic 5: Situation awareness of Civil Protection decision-making solutions � preparing the ground for a Pre-commercial Procurement (PCP);665076;DRS-05-2014;664463;H2020-EU.3.7.
Crisis management topic 6: Addressing standardisation opportunities in support of increasing disaster resilience;665077;DRS-06-2015;664463;H2020-EU.3.7.
Crisis management topic 7: Crises and disaster resilience � operationalizing resilience concepts;665078;DRS-07-2014;664463;H2020-EU.3.7.
Crisis management topic 8: Trans-national co-operation among National Contact Points (NCPs) for Security;665079;DRS-08-2014;664463;H2020-EU.3.7.
"Disaster Resilience &amp; Climate Change topic 1: Science and innovation for adaptation to climate change: from assessing costs, risks and opportunities to demonstration of options and practices";665080;DRS-09-2014;664463;H2020-EU.3.7.
"Disaster Resilience &amp; Climate Change topic 1: Science and innovation for adaptation to climate change: from assessing costs, risks and opportunities to demonstration of options and practices";665081;DRS-09-2015;664463;H2020-EU.3.7.
"Disaster Resilience &amp; Climate Change topic 2: Natural Hazards: Towards risk reduction science and innovation plans at national and European level";665082;DRS-10-2015;664463;H2020-EU.3.7.
"Disaster Resilience &amp; Climate Change topic 3: Mitigating the impacts of climate change and natural hazards on cultural heritage sites, structures and artefacts";665083;DRS-11-2015;664463;H2020-EU.3.7.
Critical Infrastructure Protection topic 1: Critical Infrastructure �smart grid� protection and resilience under �smart meters� threats;665084;DRS-12-2015;664463;H2020-EU.3.7.
Critical Infrastructure Protection topic 2: Demonstration activity on tools for adapting building and infrastructure standards and design methodologies in vulnerable locations in the case of natural or man-originated catastrophes;665085;DRS-13-2015;664463;H2020-EU.3.7.
Critical Infrastructure Protection topic 3: Critical Infrastructure resilience indicator - analysis and development of methods for assessing resilience;665086;DRS-14-2015;664463;H2020-EU.3.7.
Critical Infrastructure Protection topic 4: Protecting potentially hazardous and sensitive sites/areas considering multi-sectorial dependencies;665087;DRS-15-2015;664463;H2020-EU.3.7.
Critical Infrastructure Protection topic 6: Improving the aviation security chain;665088;DRS-16-2014;664463;H2020-EU.3.7.
Critical infrastructure protection topic 7: SME instrument topic: �Protection of Urban soft targets and urban critical infrastructures�;665089;DRS-17-2014;664225;H2020-EU.2.3.1.
Critical infrastructure protection topic 7: SME instrument topic: Protection of Urban soft targets and critical infrastructures;665090;DRS-17-2015;664225;H2020-EU.2.3.1.
Communication technologies and interoperability topic 1: interoperable next generation of broadband radio communication system for public safety and security;665091;DRS-18-2015;664463;H2020-EU.3.7.
Communication technologies and interoperability topic 2: Next generation emergency services;665092;DRS-19-2014;664463;H2020-EU.3.7.
Ethical/Societal Dimension topic 1: Improving protection of Critical infrastructures from insider threats;665093;DRS-20-2014;664463;H2020-EU.3.7.
Ethical/Societal Dimension topic 2: Better understanding the links between culture, risk perception and disaster management;665094;DRS-21-2014;664463;H2020-EU.3.7.
Ethical/Societal Dimension topic 3: Impact of climate change in third countries on Europe's security;665095;DRS-22-2015;664463;H2020-EU.3.7.
Forensics topic 1: Tools and infrastructure for the extraction, fusion, exchange and analysis of big data including cyber-offenses generated data for forensic investigation;665096;FCT-01-2015;664463;H2020-EU.3.7.
Forensic topic 2: Advanced easy to use in-situ forensic tools at the scene of crime;665097;FCT-02-2015;664463;H2020-EU.3.7.
